"","sa1"
"2378",860
"307249",285
"365348",11
"365349",987
"484770",481
"673273",1234
"1930071",717
"31977",76
"906",399
"2144175",3532
"907",1437
"1232428",1338
"1675036",1101
"29465",1354
"39777",1268
"423477",835
"29466",549
"248315",476
"2682456",203
"39778",61
"2682455",42
"39948",1099
"487173",1750
"2582419",365
"39950",265
"2161821",87
"526525",1732
"128827",2975
"1522",666066
"1796635",52170
"2583452",17206
"174708",400
"2834459",2598
"2853432",1818
"1647",1265
"2714930",589
"2714929",148
"2714928",65
"3141531",2
"225084",701
"1514105",661
"1648",633
"2485784",88
"2890314",36
"2944914",3829
"2487118",2584
"102148",2044
"1702221",1580
"2806552",728
"2810280",291
"3025755",594
"1547",228168
"1965571",2373
"29348",1481
"1982626",9162
"135858",1591
"2478954",2359
"100886",1602
"2899121",1489
"191303",1101
"1712675",712
"3114695",474
"2806443",324
"154288",764
"2735723",724
"2963365",44
"1385",18249
"186817",12247
"1386",15784
"486398",1101
"352858",791
"2014076",756
"3073816",648
"467262",635
"2709784",589
"1705566",409
"2587848",406
"98228",400
"3077585",389
"2682541",379
"666686",306
"1581038",292
"2589818",277
"3129297",248
"2921507",247
"3052091",232
"2975294",172
"2925318",164
"1071080",153
"2070759",150
"1868655",119
"2859227",52
"3098077",47
"2954591",42
"2954579",40
"580459",40
"2499213",36
"2954620",35
"2856338",32
"2954582",32
"3139388",32
"1071078",29
"2921523",21
"2233998",20
"2796141",20
"2789208",18
"2921577",18
"2954675",17
"2921694",16
"2921535",10
"2975293",10
"3077323",10
"2576356",9
"1127744",7
"2954725",5
"2954588",5
"2812759",5
"2954587",5
"2921530",4
"2954626",4
"2928154",3
"2954585",3
"3035514",3
"2954566",3
"2921622",3
"2954573",2
"2683680",2
"2921562",2
"2841656",2
"2846779",2
"2874284",2
"2884834",1
"2954636",1
"2954678",1
"2921456",1
"2975304",1
"3126755",1
"2921570",1
"3122078",1
"2921587",1
"1396",2230
"1428",1432
"1405",1386
"64104",526
"2817477",306
"155322",305
"2026193",265
"580165",168
"2026191",136
"2026186",128
"1890302",119
"2026188",104
"2053832",2
"1892404",1
"2026187",66
"1392",40
"2026194",36
"658666",4
"2026189",1
"492670",665
"1390",193
"659243",52
"1452",1122
"1648923",522
"260554",428
"72360",89
"72361",450
"1423",265
"227866",252
"96241",231
"1402",147
"483913",72
"2054641",50
"119858",2
"1408",1438
"293387",680
"324767",618
"1455",567
"1983719",557
"1925020",519
"1471",511
"2819290",478
"1441095",371
"1547283",348
"1664069",286
"1479",285
"1178537",236
"561879",183
"2672567",98
"86663",81
"293388",50
"2487276",43
"2728853",31
"2715209",20
"2675232",48
"3047873",1311
"3070682",1122
"2954672",1082
"3070683",1066
"3070678",839
"2963105",808
"3048535",763
"3047871",729
"3047875",714
"3070677",689
"3047874",611
"3070680",479
"3070676",348
"3070679",347
"1740721",1206
"1193713",1029
"220684",840
"220687",601
"400634",2055
"2936682",548
"2921393",329
"2169540",303
"2921465",302
"2921718",242
"2070463",227
"2892541",226
"2921497",220
"2792480",169
"2921515",163
"3122488",121
"2921720",103
"3026425",65
"2792479",35
"3039426",31
"2921721",28
"2072025",22
"2921411",18
"2921504",10
"2921415",9
"2921619",7
"2972483",5
"2913506",2
"2749809",2
"2954544",1
"2796169",1
"1470088",911
"2086577",697
"1421",414
"28031",370
"1714840",368
"2998077",319
"2115968",265
"759811",192
"2590012",85
"33935",25
"436516",18
"1145276",18
"2675229",1339
"228899",1446
"3073271",519
"2921364",312
"2921573",105
"2975289",22
"1478",936
"450367",925
"1407",561
"264697",156
"421767",99
"2675231",478
"129985",1857
"3043332",667
"2880221",581
"279826",1133
"285983",739
"2800373",1372
"1404",1888
"86664",839
"284581",610
"1402861",468
"412384",181
"135735",5
"2675230",836
"1399",1579
"859144",1223
"1637975",589
"1742359",441
"3051614",309
"2901381",290
"665099",31
"859143",17
"2921700",2
"182709",937
"2921503",678
"2954748",371
"2921698",172
"2921420",55
"2975322",30
"2921699",24
"1462527",797
"2052660",566
"746691",196
"545501",192
"182710",103
"2837506",21
"2912824",936
"3082444",795
"2962858",616
"1737571",1359
"1397",686
"2499688",608
"84406",1405
"2419841",562
"2700081",276
"2831673",250
"403957",154
"2419842",46
"1911587",8
"163877",530
"1482",504
"1216297",444
"302167",389
"2017483",186
"1473",101
"447199",2
"2675233",1845
"2806989",561
"3117746",523
"2897333",155
"3117747",44
"2745198",37
"3048891",2
"2567941",647
"152268",363
"1535204",230
"2874282",53
"2837508",351
"189381",1709
"189382",870
"218284",811
"3118174",344
"2963940",26
"3038653",15
"129337",1327
"1921421",1167
"1963026",200
"1963025",126
"691437",76
"550542",36
"391290",31
"2954744",24
"1813182",8
"2954614",1
"129338",425
"1462",87
"33938",44
"33941",24
"1394",1
"33940",40
"1422",25
"860353",14
"213419",3
"1329200",109
"2991053",1430
"1017270",896
"1221500",451
"255247",447
"2837504",1813
"1476025",573
"1398",480
"2954674",125
"2954703",53
"2921510",29
"38875",74
"45667",22
"45668",1123
"1570",696
"2932257",393
"554880",251
"2932258",221
"402384",171
"2932259",93
"3052090",57
"150247",271
"247480",663
"1636720",355
"2954655",48
"1490057",1
"198467",555
"294699",540
"33934",271
"1221880",2
"2921389",568
"2829187",315
"2921550",143
"2921549",125
"2303505",29
"2954547",21
"2283160",693
"1906945",227
"1295642",774
"2916802",496
"153151",343
"1426",251
"81408",147
"2837510",1
"254758",1080
"2921432",37
"2954699",18
"2924033",849
"1413",738
"1055323",923
"2954608",118
"2954613",114
"2954611",79
"2954706",57
"2954683",6
"33936",143
"1868734",35
"2837511",570
"2921670",435
"3004096",64
"79883",383
"33932",5
"2893057",894
"79880",287
"300825",129
"766894",14
"2598861",1
"632773",758
"85683",526
"459532",257
"2850441",417
"2921447",405
"386490",98
"361277",45
"1449",1148
"74385",51
"2932255",528
"2663022",400
"2932256",156
"2594883",641
"2844358",430
"289201",11
"2777185",427
"2692425",329
"265426",205
"79885",913
"1472767",419
"2518176",309
"2911514",182
"1667239",848
"2213194",833
"1230341",795
"3033930",1
"2980027",426
"2980026",269
"371036",689
"2685905",63
"2099786",252
"2743000",172
"2502791",145
"2743001",49
"2729421",671
"1467",638
"2933872",607
"86665",564
"3077789",561
"2593652",553
"2924032",286
"2926399",140
"2924034",87
"2651284",493
"996558",492
"3131995",483
"208199",481
"296745",370
"2924031",344
"2921616",321
"199441",318
"1532552",296
"35841",176
"570278",117
"2592382",79
"186822",1920
"44249",24530
"2954535",1594
"2918901",1583
"2072642",1418
"1536773",1270
"2921687",1249
"2996034",1234
"2895946",1202
"2954525",1155
"2921711",1148
"2921495",1137
"1870819",1105
"1920422",1046
"1532905",1045
"2859228",982
"2954679",925
"2282849",912
"2979727",893
"2921460",886
"2954506",774
"324057",750
"1536772",725
"2908839",711
"2758563",700
"1695218",697
"2741301",669
"2954685",665
"2866810",664
"2954742",658
"2921714",656
"2925845",649
"2921677",610
"3078263",601
"2921679",590
"2921361",575
"2023772",554
"2954691",543
"1306526",504
"2921709",481
"2921399",470
"3039392",468
"867076",447
"1566358",443
"2777983",419
"715179",384
"3073092",373
"2954526",357
"2878915",355
"2921450",338
"1536774",329
"2762320",306
"1926588",289
"1536771",279
"2954618",276
"3047872",275
"2921651",252
"2607911",249
"2921652",244
"2835869",242
"2921375",208
"2975345",200
"2921654",170
"2211212",165
"2921636",164
"3032287",148
"2921357",146
"2921370",140
"2954686",139
"2976834",134
"2954661",114
"2921648",111
"2954726",106
"2487928",87
"1906272",82
"2926710",74
"2975317",72
"2975292",70
"2954732",69
"2921610",68
"2921443",67
"3025665",66
"2975291",64
"2921695",64
"2921656",64
"2921430",63
"2954659",62
"2975339",61
"2954663",57
"2777984",57
"2921604",56
"1536769",55
"2921435",46
"2069255",44
"2921655",43
"2921657",42
"1740264",41
"2921710",33
"2954505",33
"3122489",32
"2748863",28
"2954512",27
"1920424",23
"2660554",23
"1536770",23
"2954532",21
"2921378",19
"2921658",19
"2921386",18
"2954619",17
"3049075",17
"1980674",15
"1920423",14
"1536775",14
"3024576",13
"2921647",13
"2921697",12
"2921437",12
"2921673",11
"2921626",10
"2871175",10
"2954752",9
"2921641",6
"2921645",5
"2921667",5
"2921631",4
"2921702",4
"3045840",3
"2823904",3
"2954727",3
"2921428",2
"2954504",2
"2954739",1
"2954734",1
"2823905",1
"2954728",1
"1406",1682
"373687",716
"483937",623
"61624",1560
"1126833",1275
"414771",1275
"44252",1266
"1616788",1265
"130049",1206
"1712516",1155
"2707005",1058
"116718",1026
"169760",990
"189691",978
"2704462",935
"521520",906
"682956",899
"2918900",891
"162209",887
"375489",884
"1473112",867
"539262",851
"2020716",829
"189425",808
"1178515",807
"44251",805
"79263",794
"1778678",777
"171404",760
"1338368",756
"44250",754
"1464",748
"49283",718
"1462996",712
"1472",682
"3050112",680
"1333845",669
"2565926",647
"160799",610
"159743",609
"1870820",604
"2975482",580
"1873425",575
"2509456",574
"365617",572
"59893",554
"2726185",538
"2909671",525
"562959",524
"2810347",522
"1174501",521
"1763538",513
"198119",488
"2704463",487
"3110539",458
"2495582",450
"253703",430
"1619311",386
"1886670",367
"307580",287
"1452732",271
"1451",258
"172713",234
"3026433",226
"128574",221
"1401",110
"683737",99
"248903",98
"528187",91
"59843",87
"528191",53
"189426",9
"55080",3492
"1393",2400
"2950604",1262
"319501",405
"2954680",239
"2738979",76
"3003229",57
"2738867",44
"2778370",12
"2683193",11
"2954682",7
"2796470",824
"2895522",780
"54911",738
"1465",616
"2496837",477
"54914",156
"927786",86
"54913",79
"51101",59
"45462",15
"329857",61
"2598458",887
"1619153",858
"2728023",610
"2507935",386
"2674991",348
"55079",679
"2966586",793
"1500254",573
"3022697",417
"1450761",2
"143495",72
"377615",813
"2583377",607
"90964",1452
"1279",3756
"283734",1600
"53344",140
"1280",1716
"2929481",292
"1912064",82
"2583989",54
"2813777",10
"2799680",2
"678600",1
"46127",721
"29382",647
"33028",607
"29385",576
"2282419",551
"1282",425
"29388",417
"1283",397
"1288",380
"3051183",346
"70258",343
"2892440",329
"2044912",324
"155085",308
"46126",297
"1290",293
"1284",280
"1286",273
"586733",251
"1955013",220
"29378",206
"522262",201
"29384",199
"214473",172
"308354",169
"2781774",166
"1281",135
"74706",132
"28035",125
"201828",119
"2912228",119
"1292",96
"45972",94
"61015",86
"1293",83
"170573",53
"70255",53
"1295",51
"29379",48
"246432",46
"29380",45
"985762",38
"1294",22
"985002",15
"1654388",7
"2803850",9
"1296",1540
"42858",604
"71237",359
"643214",292
"3034233",158
"2962659",123
"69965",7
"69968",658
"2875764",447
"69967",229
"198483",116
"1902580",89
"1898474",3
"3076173",5
"1855823",993
"69966",240
"1903056",26
"227979",7
"2708346",371
"946435",306
"1461582",167
"3136731",422
"407035",383
"489909",46
"489910",455
"1232430",175
"186818",292
"1569",797
"3020056",684
"2921556",682
"2921557",575
"2810514",574
"3056445",565
"2942204",487
"2818390",419
"2921554",412
"2954701",389
"2283194",271
"1930764",228
"3056444",156
"2762563",49
"1930546",38
"2921555",4
"1571",1313
"298596",395
"633404",237
"1474",227
"1476",6
"1372",708
"2908840",511
"1526927",463
"3058394",407
"2058136",345
"3058393",320
"3058398",151
"2213202",934
"192421",790
"2233542",738
"1499687",528
"1215089",364
"1038856",352
"414778",312
"459472",298
"161360",203
"200991",168
"1302659",108
"1598147",46
"1374",4
"648800",598
"2921653",530
"2048654",508
"2954511",311
"2921713",304
"2921707",100
"2921474",62
"2921639",34
"2912187",634
"76853",40
"160795",326
"2954684",336
"2954607",25
"2954681",15
"2954593",5
"367743",259
"51173",20
"2921401",542
"417367",253
"2320858",50
"1649",209
"1750719",238
"3049086",2
"1650",219
"33946",1
"2921416",88
"2921431",7
"2779527",294
"2921704",218
"648802",107
"2939494",51
"241244",21
"426756",9
"1637",694
"1642",1299
"1639",1202
"1497681",664
"1638",580
"1643",480
"1640",478
"1641",327
"1844999",283
"1006155",206
"2756",178
"1274351",1
"714067",866
"1380685",374
"1125966",749
"37482",521
"2026",506
"2490858",448
"1471761",301
"186823",7
"29330",3
"2796143",455
"2606450",438
"2665646",62
"405212",516
"392011",252
"1475485",148
"1450",147
"2931921",136
"1457",99
"2743772",523
"432330",58
"1903704",319
"1214604",135
"1129704",63
"2055160",208
"33943",62
"1378",34
"84135",1169
"2840371",331
"2040624",171
"1785995",17
"1379",783
"29391",153
"33986",438
"2051906",165
"3112419",119
"2735868",107
"360911",70
"1399115",40
"2829816",10
"1224749",5
"332410",471
"307643",243
"132920",190
"1428684",143
"41170",129
"340146",87
"273528",43
"33987",36
"2866627",112
"269673",506
"3028315",400
"1817405",13
"186826",6995
"1300",425
"1301",14802
"2583584",774
"2759692",576
"1759399",565
"3038077",469
"712633",451
"2972784",408
"3028083",389
"3077584",322
"3020829",291
"712623",247
"2610896",174
"3098075",161
"3098076",146
"2598453",128
"2993430",125
"3077723",116
"2664091",98
"3028084",80
"1940319",78
"1902136",67
"3028082",43
"2598457",34
"2975349",27
"2576376",23
"2763068",19
"712624",14
"2954545",6
"1839799",6
"2975324",4
"2954513",4
"1319",1
"2420310",1
"1307",4902
"1156431",3218
"1326",2944
"1305",2912
"82348",2667
"1328",838
"1338",602
"76860",164
"2382163",1713
"1336",1178
"1334",370
"1234680",1512
"197614",1424
"28037",1409
"1313",1303
"1303",1273
"1302",1159
"113107",892
"1318",876
"1311",845
"1304",611
"1335",609
"1348",542
"1341",473
"684066",469
"1314",463
"2781599",459
"1340",444
"1329",434
"1346",415
"1308",396
"1811193",370
"45634",365
"1501662",341
"150055",329
"1349",323
"102886",314
"2173853",302
"1309",298
"1888195",294
"149016",294
"361101",289
"2819619",283
"68892",274
"1433513",229
"400065",200
"315405",189
"1825069",184
"2021971",177
"1814128",175
"1111760",150
"1310",148
"33040",142
"29389",135
"1345",125
"257758",76
"254785",51
"102684",45
"1343",41
"2686210",14
"1917441",13
"2490633",4
"59310",3
"1357",1762
"1358",1009
"1359",757
"1363",540
"1281486",429
"2749962",414
"1366",351
"2879149",298
"3037457",22
"2816912",9
"2816910",3
"2419773",166
"1151742",155
"1940789",150
"1364",96
"2749961",31
"2592653",29
"1859475",65
"81852",237
"1350",6901
"1352",16487
"1351",5976
"2230877",2971
"2060307",837
"1834193",539
"2230879",340
"1834189",256
"1834167",250
"2230878",196
"1834192",180
"2057791",52
"2582830",42
"3050383",11
"2920934",1
"44008",3874
"37734",1660
"167972",1117
"71452",1097
"33945",873
"53346",730
"1354",726
"160453",620
"3031993",606
