"","sa1"
"1721",93
"131318",90
"2763010",89
"38303",89
"227319",87
"43768",86
"108486",82
"160386",80
"2768834",80
"556548",78
"2079535",78
"37637",77
"43765",76
"146827",74
"1783348",72
"38289",70
"163202",69
"38288",66
"2320431",66
"3049799",64
"441501",62
"38305",62
"234828",61
"1727",60
"89154",60
"42817",59
"1862358",55
"1121358",54
"38302",54
"1336740",51
"3049801",50
"28028",48
"2684405",47
"258224",45
"1230998",44
"1758466",43
"2754725",41
"1979527",40
"2026255",40
"2709392",39
"1852390",37
"35757",37
"699041",37
"401472",37
"161895",36
"203263",36
"38290",33
"1697",33
"136857",31
"1471400",30
"2913502",28
"1190508",25
"2080757",23
"2487892",20
"44750",20
"1232427",17
"2079234",16
"441500",15
"2804917",13
"131081",11
"156978",10
"2719119",9
"2594913",7
"3026968",2
"43990",1
"85025",163
"1817",875
"2975997",329
"2975993",309
"2975998",193
"1047172",192
"2975991",189
"2903594",166
"2975992",149
"2903593",138
"2975990",135
"3058426",22
"2903595",7
"2903591",4
"2903596",1
"135487",866
"455432",680
"1824",617
"96468",472
"37329",411
"37332",394
"37330",333
"37326",316
"2213200",315
"2749991",312
"209247",296
"2984338",245
"2755382",240
"1823",203
"228602",192
"480035",189
"53431",134
"2055889",129
"204891",128
"208602",87
"2382165",80
"1141657",63
"1827",2514
"2499145",319
"2789739",246
"2507582",234
"2567884",159
"2742603",139
"2806442",130
"2962047",124
"2749906",86
"2663121",80
"1805827",71
"1564114",47
"1302308",46
"2885078",20
"2976005",13
"1653478",11
"2942275",10
"679318",9
"1045808",8
"1570939",8
"2976004",7
"1723645",6
"2594007",6
"2722825",6
"2795031",6
"935199",6
"3002901",6
"3047468",5
"2683591",5
"2812863",4
"2856851",4
"3058401",3
"3109594",2
"1727214",2
"1033922",2
"1807790",1
"1828",496
"334542",303
"1833",51
"37919",283
"99653",144
"33008",132
"223392",126
"103816",123
"1830",75
"293050",69
"300028",69
"1990687",46
"2811421",45
"38310",44
"1829",41
"2987751",32
"191292",28
"1805840",24
"132919",24
"38312",1
"2979332",11
"43767",425
"3064529",141
"1603258",48
"2053",801
"2995145",485
"3075837",377
"2742602",325
"337191",276
"2059875",149
"2935861",131
"875808",79
"2811424",50
"2698900",28
"3039400",25
"2982699",23
"3029399",8
"2878678",4
"1737359",2
"2676309",1
"40516",256
"2055",255
"36822",207
"2420509",202
"2665643",161
"36821",132
"2054",128
"84595",127
"2831662",111
"1136941",95
"2597659",89
"2758710",76
"1004901",74
"1701090",60
"173559",54
"249058",47
"410332",42
"89053",13
"84096",7
"39122",149
"2060",315
"57704",608
"2061",548
"47312",503
"2929795",217
"37914",150
"321318",287
"712270",95
"2915130",78
"322509",198
"139021",42
"546160",21
"499555",20
"741759",23
"2760083",169
"2597660",100
"639313",199
"286802",151
"1528099",39
"2062",1629
"1883",21389
"2975776",975
"2781734",633
"2136401",481
"2975783",458
"2135430",448
"2903818",396
"2136173",392
"2975769",384
"2903670",376
"2750011",373
"2900152",368
"2903862",361
"2175864",358
"2833628",344
"2892996",326
"2903835",323
"3062779",321
"2903806",320
"1522758",319
"2742136",316
"2975701",293
"2975728",289
"477697",289
"2903660",286
"1855352",284
"2981136",282
"2975712",282
"2072505",280
"3096006",277
"2942449",275
"2975740",273
"3053466",263
"2903863",260
"2975700",255
"2903801",255
"2975780",253
"2903665",251
"3112165",250
"1725411",250
"2903659",248
"2903824",244
"2837956",244
"2975705",243
"2903657",241
"3057122",239
"2903878",236
"2975946",235
"2975702",229
"862751",229
"2975801",227
"2801029",222
"2903788",220
"2981135",220
"2975940",219
"2903643",218
"3043734",218
"2903875",213
"2907545",213
"2903634",212
"2692234",211
"3030210",199
"2903834",198
"2078691",193
"2720714",192
"2903881",187
"3015154",185
"3061628",178
"2903882",175
"2903778",175
"1848900",174
"2975866",170
"3118173",170
"2975736",169
"2903869",169
"2714844",168
"3038642",168
"2975928",165
"3108485",164
"1736046",161
"2903827",159
"2975669",159
"2684469",158
"2903885",157
"1827742",156
"2975842",154
"2949637",152
"2695266",151
"2903629",150
"2975870",150
"2903883",147
"2903638",147
"1333528",147
"2751189",146
"2903769",146
"2840373",144
"3026420",144
"3028710",144
"2903865",141
"2903672",141
"2967224",139
"2976015",137
"2903642",135
"2903833",131
"2676871",131
"3041765",129
"2721173",129
"2903649",128
"2975672",127
"710705",127
"2903872",123
"2903671",122
"2742137",121
"2975749",121
"2975742",121
"2976011",120
"3062449",120
"2975714",118
"2305220",117
"2944250",117
"3129111",116
"2903786",116
"2903790",116
"2203210",113
"2203204",113
"2791991",113
"2975808",113
"2903828",112
"2975688",110
"2684468",109
"2927875",108
"2903652",108
"2976008",108
"2903815",106
"2903831",106
"3075199",105
"2903772",105
"2903803",105
"2585716",105
"3081768",103
"2903783",103
"2903814",103
"2903867",102
"2903817",102
"2662065",102
"1882757",102
"2059884",101
"2975723",101
"2782004",101
"2903640",100
"2903637",100
"2903799",96
"2951988",96
"3081765",95
"565560",95
"2903768",94
"2903884",94
"2975730",93
"2975689",92
"2903774",91
"2975947",91
"2903651",90
"2056258",89
"3075825",89
"2975871",87
"1841249",87
"1849967",87
"2903641",87
"2975743",87
"2966192",86
"3075197",85
"2975741",85
"206662",83
"2903766",83
"2903646",83
"3026192",83
"2825844",83
"2742133",80
"2903876",79
"2975691",79
"2975737",79
"2975739",79
"2903779",78
"659352",78
"2975735",78
"2730915",77
"2203205",76
"2797167",74
"2721246",74
"2975809",74
"2903789",73
"1837283",71
"2975623",71
"2975917",71
"2903816",70
"2903797",70
"2903836",70
"2975725",69
"2903787",67
"2779671",67
"2866715",66
"2975921",66
"3125779",65
"2903800",64
"1938841",63
"2855836",63
"2903822",63
"2975888",62
"1964449",62
"3075432",62
"2975847",62
"2975733",60
"2903871",60
"2744474",59
"2975784",59
"2975744",57
"2975924",57
"1488356",57
"2931974",55
"2975756",54
"2903832",54
"2903784",54
"2971798",52
"3075198",52
"355249",52
"2975710",52
"2975930",51
"444103",51
"2903894",50
"1664033",48
"2975752",47
"3031131",47
"1821625",47
"2931983",46
"2975931",45
"1812480",45
"2979468",44
"2975748",44
"1561022",44
"2903874",43
"3074430",43
"2850561",42
"1460244",41
"2903838",40
"2903644",40
"2975804",39
"2975639",39
"1972846",39
"2975684",39
"2975720",39
"2898276",39
"2903669",38
"2903802",38
"3111774",38
"2903765",38
"2939414",38
"1795888",38
"2083284",37
"1262452",37
"2903723",37
"3033809",36
"2903654",36
"2975906",34
"2202000",34
"3144102",33
"2005885",32
"2975734",32
"2975745",32
"2306165",32
"3118085",32
"2975713",31
"2594457",31
"3064901",31
"2801030",30
"2903830",29
"2750025",28
"2975718",28
"1851167",28
"2911367",28
"1961713",28
"2879427",27
"2986803",27
"2975945",27
"2903808",27
"2975719",27
"2594459",26
"2903837",26
"3020055",26
"2975939",26
"3002640",25
"2903780",24
"2975938",24
"3033811",23
"2903639",23
"2835531",22
"2975765",21
"2903798",21
"234612",20
"2742134",20
"2975892",20
"2831149",20
"2930049",19
"2975849",19
"2582831",19
"646637",18
"1188315",18
"2975708",18
"1577075",18
"2975918",18
"2975724",17
"2975640",16
"1661694",16
"2903653",15
"2975722",15
"3090667",15
"2975673",14
"2903860",14
"2975750",14
"2975751",14
"2721243",14
"2975760",13
"1495638",13
"1649184",13
"2975915",13
"2903663",12
"2975934",12
"2903879",12
"2975706",12
"3142634",12
"2903684",11
"2903716",11
"2903717",11
"3028711",10
"2903667",10
"2975923",10
"2975696",10
"2975631",9
"2903771",9
"3096010",9
"2748873",9
"3074897",8
"2903826",8
"2563602",8
"1265399",8
"2975878",8
"2609808",7
"3033808",7
"2903611",7
"2975922",6
"2975747",6
"2903805",6
"3062782",6
"2721244",6
"2692233",6
"2903829",6
"2913412",6
"3039421",6
"2903811",6
"2975910",5
"2975667",5
"2903679",5
"2903700",5
"2838850",5
"1265601",5
"465541",5
"2903645",5
"2975697",5
"2975812",4
"2975666",4
"2975645",4
"2871487",4
"2782013",4
"1984801",4
"2903861",4
"3096009",4
"2975624",4
"2705439",4
"2594461",4
"2903842",3
"2607753",3
"2721245",3
"2975777",3
"2980556",3
"3062685",3
"2975755",3
"2420135",3
"2903627",3
"2094021",3
"2975655",3
"2975703",2
"2975932",2
"2975727",2
"2975778",2
"3057114",2
"3042026",2
"3033810",2
"3028709",2
"2975887",2
"2987521",2
"2975943",2
"2975933",2
"2903776",2
"2692235",2
"2903880",2
"2903839",2
"2903793",2
"2975671",2
"2605730",2
"2933779",2
"2903873",2
"2903674",2
"2903770",2
"2738410",2
"2903647",2
"2903755",2
"1881022",1
"2987533",1
"3072183",1
"3041497",1
"2975621",1
"2609809",1
"2996051",1
"2903749",1
"2594462",1
"2975753",1
"2903754",1
"2975879",1
"2903847",1
"2903609",1
"2903775",1
"2975797",1
"2109593",1
"2903626",1
"2975698",1
"2903810",1
"2975929",1
"2305221",1
"2801033",1
"2594455",1
"2903825",1
"2903675",1
"3108484",1
"2975848",1
"1476754",1
"2772433",1
"2975914",1
"2903683",1
"349971",1
"2903791",1
"2884220",1
"58343",525
"67350",314
"2184053",283
"114686",241
"47760",238
"188770",164
"132473",160
"68274",112
"1783515",48
"1892",780
"1919",355
"66883",171
"68212",154
"1944",6
"1911",86
"2759525",3
"1908",60
"54571",1159
"42684",964
"1912",449
"1226757",101
"155177",80
"68280",69
"92644",11
"47763",606
"68246",568
"1971",526
"553510",478
"146819",459
"1969",456
"1038928",453
"2867410",443
"83291",373
"2282738",365
"1690221",361
"45398",338
"38300",337
"2923272",336
"1616117",328
"193462",327
"68278",308
"1901",305
"1914",294
"67367",289
"1888",286
"2768066",284
"2746961",280
"68231",279
"68270",278
"67282",272
"51201",264
"67581",264
"1950",252
"1961",251
"67304",248
"2763006",248
"3004093",243
"249567",242
"83656",230
"2014920",226
"68286",223
"58346",219
"285578",218
"2710756",215
"285557",215
"1077946",214
"2049881",213
"173860",211
"67258",209
"67385",202
"1048205",201
"1169025",200
"40318",197
"116188",196
"42234",195
"249586",194
"1437453",191
"1642299",190
"2865673",186
"2880933",185
"2686304",180
"319947",180
"3051092",177
"1818004",177
"2964669",176
"1907",174
"2878388",172
"42881",171
"1827580",170
"67345",170
"2599401",169
"67267",168
"1885",166
"2662397",163
"1923",157
"1927",153
"2717324",152
"28894",152
"66374",151
"1920",149
"67296",148
"2981134",147
"285450",146
"665007",142
"67326",138
"1355015",137
"2797636",137
"68223",136
"35621",135
"59299",132
"2768069",131
"2548456",130
"362257",130
"452529",129
"47759",127
"2768068",127
"68200",127
"235987",125
"1932",124
"1413221",122
"146922",122
"2508722",122
"348043",120
"2293571",119
"1977088",117
"66425",115
"1535768",114
"1889",112
"67287",111
"2496836",111
"1936",110
"2875706",108
"1648182",108
"3031124",108
"1967",103
"2879846",98
"1890",94
"68188",93
"33900",91
"67305",90
"68043",85
"68175",82
"68219",80
"67384",80
"1915",80
"55404",78
"36818",77
"285473",75
"66871",72
"68214",72
"73044",71
"1928",21
"1935",34
"68174",30
"2653200",68
"1176198",68
"2811104",66
"1904616",61
"35620",60
"68233",60
"80860",60
"424188",60
"2174846",59
"33903",58
"66892",58
"1893",57
"285562",56
"1546107",56
"1442032",55
"66428",51
"68239",48
"75293",48
"67294",47
"68249",47
"114687",45
"408015",43
"66880",43
"887462",41
"436397",40
"68192",40
"2726118",39
"67280",38
"285574",37
"1960",35
"1916",35
"67351",34
"1906",33
"68232",30
"1942",30
"202862",29
"1886",26
"887464",22
"67308",20
"53451",20
"67313",19
"67260",17
"2991496",11
"68203",11
"47716",7
"146923",7
"1464011",7
"68209",6
"33899",5
"1968",4
"1940",4
"1895",4
"2906474",2
"68242",1
"379067",1
"83380",1
"1930",1
"156453",1
"2063",218
"2998080",389
"2903570",386
"2742135",277
"2903568",256
"3075627",237
"3004092",233
"2903572",177
"2018025",161
"2975964",103
"2903574",24
"2903571",21
"2903575",5
"2903576",5
"2903565",2
"2975962",1
"2066",613
"68217",399
"2991545",249
"1894",158
"67352",115
"2896848",847
"235986",298
"1436133",262
"2704468",395
"2705012",78
"2126346",386
"2975961",97
"2975960",30
"29303",150
"85006",1877
"85023",1381
"33882",6808
"2014534",7523
"1714373",760
"3142976",464
"3135257",392
"912630",391
"2483401",376
"3049069",331
"1906742",325
"2567934",316
"2925844",300
"3135255",296
"2654193",291
"3049072",290
"3049073",287
"3050384",272
"3049070",259
"3135260",251
"3025663",251
"2875948",250
"367477",248
"3049071",245
"2981139",236
"1938334",222
"2962064",215
"2268461",204
"3135262",195
"2763257",193
"2048898",188
"2909588",186
"3135263",183
"1906274",182
"2995140",173
"2734618",169
"3019890",148
"3135258",146
"2992441",113
"2070348",105
"2606451",84
"2489212",77
"2861281",73
"2766784",55
"3035531",32
"2603598",32
"1696072",24
"1916917",17
"1795053",16
"3041512",14
"2103230",9
"2982533",8
"2861280",6
"2809708",6
"162426",2790
"36805",1749
"273677",868
"2033",672
"2509458",535
"57043",514
"82380",504
"2782167",436
"33918",418
"33883",396
"1678237",366
"2614638",337
"1572644",333
"904291",309
"104336",298
"1072463",267
"743009",265
"344163",261
"2782168",260
"370764",250
"3028316",250
"2909587",243
"2782169",241
"84292",223
"156977",223
"2851649",221
"582680",213
"69362",199
"462710",192
"273678",184
"515415",184
"3079935",182
"2782166",181
"2851646",178
"69367",177
"2541726",169
"936337",149
"199592",136
"2614639",123
"1526412",122
"2708079",118
"1816425",91
"683047",69
"2769067",60
"300019",57
"2851642",8
"2810535",6
"2034",325
"2175645",304
"2175646",120
"3050069",116
"2175650",99
"2175619",92
"3049047",82
"2175655",81
"2795488",70
"2876939",48
"2175666",47
"2175648",42
"1898733",35
"2898151",30
"2495429",30
"2862880",28
"1561023",25
"2070337",24
"1905847",22
"2175620",22
"2841594",21
"1793722",20
"2175674",19
"2175621",18
"2175660",15
"1898738",12
"2175635",8
"2175641",7
"2175632",7
"2175673",5
"2175644",4
"2175664",3
"2495430",3
"2175667",1
"2175622",1
"2035",462
"2036",2
"33877",45
"659012",460
"1389020",260
"2509455",231
"2781962",205
"2932244",121
"2498704",57
"1858653",154
"589382",128
"2585717",108
"453304",100
"2929802",94
"2080742",65
"2592652",26
"110932",15
"2781978",289
"2724914",259
"1798223",129
"150026",308
"1575",118
"55968",5
"2813744",259
"2875729",122
"2714935",256
"340320",119
"2714934",94
"2932247",93
"1784719",68
"2714933",60
"683042",58
"2932245",49
"1935379",36
"283878",28
"2873270",23
"46352",73
"2810513",182
"2070347",144
"2933290",49
"2995141",36
"399736",257
"684552",133
"3068634",60
"33886",176
"2609253",61
"2609254",33
"2609255",30
"2609258",21
"2609257",19
"2609252",9
"2609256",3
"1671680",143
"110937",130
"59737",126
"33888",63
"145458",36
"33887",20
"1891671",5
"235888",2
"2603292",279
"2508880",181
"2708084",175
"2708338",95
"3138237",76
"2583374",46
"2079791",53
"69578",113
"3048582",203
"1978566",150
"2861288",102
"1897061",80
"1897060",52
"1926290",5
"670052",93
"2220095",50
"1259258",43
"529883",5
"232537",404
"529884",94
"535712",39
"942880",5
"2499157",208
"1855377",56
"1573",262
"28447",281
"2768071",68
"1874630",65
"31963",51
"31964",26
"1734031",12
"1401995",7
"2860285",7
"1795630",261
"1446794",84
"1268041",155
"337004",116
"2994971",112
"2963406",95
"279828",70
"1913979",37
"2772253",15
"1804990",37
"2750620",2
"2859226",230
"2116510",76
"2079792",45
"3031408",344
"2680004",4
"2592654",134
"2759943",85
"2419774",76
"1162966",287
"1729695",165
"256821",104
"2846775",105
"2895559",105
"2773266",203
"2599293",170
"190323",30
"2583822",33
"2480625",27
"150123",33
"2735133",88
"2905871",73
"2994664",138
"2596916",22
"1705353",56
"1987356",55
"708131",21
"2079575",15
"2986279",4
"412690",136
"2866588",130
"1619308",130
"2419771",127
"2683590",113
"1159327",75
"2596912",63
"2985506",50
"2880260",40
"674079",34
"3143537",22
"595671",1
"1268",1103
"1663",543
"2861279",483
"290399",356
"2079227",333
"2894192",329
"2828862",253
"2575374",249
"2972479",227
"2886938",224
"2651199",193
"2879617",187
"1652545",174
"2831000",171
"1494608",163
"2830998",152
"2830996",149
"2830983",142
"2991715",140
"3140789",127
"3043847",125
"904039",121
"2017685",118
"1704044",118
"2565366",111
"1849032",109
"2964610",96
"3039385",82
"2830993",82
"2879618",79
"2996261",77
"2886932",72
"2020486",71
"1357915",65
"2830992",64
"2879620",61
"2830990",54
"2654190",54
"2987701",53
"1477518",52
"2830997",47
"2879621",45
"2600159",42
"2879622",42
"2894187",41
"2830995",37
"2578107",21
"2963432",19
"1118963",18
"1667",4
"2830994",4
"2997335",3
"2830999",2
"347213",1
"2817475",653
"37921",472
"656366",459
"199136",443
"1670",338
"37928",298
"156980",250
"2813727",188
"2211210",137
"2486855",131
"2886936",114
"2886940",74
"2816859",65
"2964609",54
"2895818",46
"409290",43
"2886935",43
"2964616",38
"32207",70
"43675",3164
"172042",899
"2047",791
"396015",293
"3047030",178
"2810516",106
"85336",206
"37923",162
"169480",48
"1742993",523
"2931399",227
"2772401",162
"2851598",127
"2973976",71
"3018929",67
"2596911",54
"2590785",52
"3092262",49
"2590775",28
"2576839",17
"2590774",6
"3111450",1
"85085",257
"1671",251
"361575",160
"2697569",111
"410837",106
"728066",76
"121292",65
"1742989",283
"1933880",364
"256701",354
"1775880",320
"37929",138
"3023076",89
"2984842",14
"37930",91
"162496",87
"257984",10
"57493",354
"388357",219
"446860",200
"1275",172
"71999",118
"2711328",102
"1702043",3
"2719588",1
"72000",90
"1272",27
"1049583",10
"1742992",569
"2979324",217
"2782567",124
"2735316",61
"3049085",37
"3031125",29
"3041264",23
"2735317",11
"2973089",2
"37931",100
"29320",16
"1269",99
"1270",241
"3142261",123
"1179670",3
"936902",1
"574650",105
"1273",45
"2856555",37
"566027",1
"169133",47
"3004095",141
"3073268",124
"2567881",68
"169134",22
"57494",166
"2600320",117
"1548602",35
"2853258",141
"2986919",87
"1646",229
"2020377",99
"37927",85
"1160973",88
"678932",63
"1618207",135
"2058657",51
"98671",36
"556325",15
"85016",29
"1707",119
"2962632",250
"2654191",229
"2003551",153
"2591145",148
"2704467",147
"2871170",113
"3073064",100
"3039384",70
"2904790",59
"2973977",47
"2173174",2
"2729175",235
"2968083",172
"2566013",148
"1708",138
"2816956",127
"2968085",113
"2819979",110
"2819978",104
"1711",84
"11",71
"76862",70
"2968084",58
"2608402",50
"665568",1
"1138587",212
"545619",159
"2654547",104
"1179673",89
"2758442",51
"1696",610
"2777556",318
"2999062",156
"2575923",73
"2725563",57
"2886045",22
"1406197",16
"2823518",5
"3020906",3
"273384",425
"199591",247
"33889",215
"2898795",191
"1496080",157
"358099",103
"1703",93
"2909672",82
"629680",76
"2697563",74
"2697565",18
"1136497",4
"85021",8
"53457",191
"3115209",149
"2761047",54
"2963431",49
"3028808",37
"262209",215
"103817",173
"53458",168
"857417",46
"1285192",39
"53358",212
"1658671",196
"3108389",171
"367298",1
"1690220",127
"2714941",38
"1813880",162
"443156",153
"85020",3
"43668",124
"2759167",267
"3069708",121
"1903186",94
"2996004",44
"2571029",41
"3023517",23
"556288",188
"1331682",149
"2017484",148
"2017485",94
"1652028",79
"2942909",73
"2795215",42
"36739",151
"1630135",59
"1667168",25
"36740",7
"521392",215
"472569",89
"85017",7
"254250",6
"3024246",294
"372663",181
"139208",138
"157920",254
"1710",228
"2587808",43
"1906273",10
"2731680",1
"186188",9
"2509459",223
"2509457",100
"186189",77
"1331736",26
"626119",19
"2603206",723
"2779775",204
"2897774",93
"2897773",81
"2675754",287
"2805590",20
"125287",59
"2594265",225
"2934161",164
"1288636",163
"2934158",142
"2593973",56
"2508882",41
"2283195",40
"2908651",20
"265976",8
"247333",81
"767452",81
"1078471",76
"1758689",70
"154116",4
"2917725",222
"3120520",86
"2585135",209
"2483799",134
"2589797",85
"145357",1
"1535208",254
"57495",2
"1274",132
"2762331",61
"2904523",77
"2770551",72
"571913",71
"2881056",124
"3075619",66
"3075620",21
"1930058",62
"60919",1
"2714931",140
"3030830",100
"60920",108
"1863",152
"2716227",120
"100225",25
"125316",1
"2171623",159
"84757",121
"2819238",109
"1133546",86
"1276",144
"2039",54
"43674",45
"2070",480
"1847",164
"445576",15139
"1641402",933
"2865833",306
"1690815",262
"1096868",40
"1688404",6
"2074",386
"2736640",386
"37331",256
"240495",243
"33907",238
"2792008",137
"2792013",24
"75291",6
"1813",735
"2653857",939
"3052846",510
"2742131",503
"2914159",451
"2903562",394
"715472",341
"2778070",265
"2745196",228
"715471",197
"2975955",192
"3079339",181
"2919322",172
"2903563",152
"1911175",134
"2865832",128
"2861750",101
"2903561",95
"2975957",64
"1896961",63
"3034022",56
"2932773",49
"2903558",42
"2903560",13
"2975956",9
"208439",650
"129921",261
"715473",556
"2842453",323
"715475",308
"1804986",283
"1814",282
"33910",251
"1448059",224
"31958",211
"2995223",191
"944492",125
"700274",76
"76021",33
"1835",227
"1836",428
"524884",404
"3118084",230
"2719023",60
"60894",287
"455344",263
"33914",236
"333966",46
"43356",31
"1483604",454
"2802641",353
"1045776",315
"43357",200
"65496",293
"2072503",233
"1612551",223
"340345",242
"1470176",186
"1612552",2
"165301",26
"3108822",280
"2951806",220
"2903582",143
"1586287",119
"1851",27
"632569",209
"40990",169
"40988",123
"75294",70
"1852",69
"40989",26
"2071",3
"103731",325
"103733",270
"2781735",80
"40566",219
"40567",154
"42197",109
"2268449",329
"3075927",248
"2981138",214
"211114",196
"860235",179
"530584",177
"588067",1
"1653480",169
"2975952",136
"2665642",59
"31953",61
"1678",6151
"216816",4552
"1685",3201
"2983230",247
"2983229",220
"2983235",195
"2983219",175
"2983214",115
"2983222",103
"2983220",93
"2983233",76
"2983228",46
"2983212",27
"2983236",25
"28026",1546
"158787",1090
"1765219",834
"1684",824
"1686",761
"1689",584
"1603886",577
"1680",505
"1694",459
"1681",383
"78448",383
"77635",226
"762210",170
"28025",167
"33905",155
"638619",136
"2020965",118
"1683",107
"1687",94
"35760",83
"1691",5
"2701",172
"2792978",495
"2702",278
"2792979",92
"2792977",11
"78259",212
"78258",195
"2932182",42
"28056",544
"1873",2057
"2975984",726
"2583243",400
"3111768",252
"3051832",187
"3015149",167
"3015152",165
"3111767",156
"3015151",145
"2975988",143
"2742132",138
"2975987",132
"3061626",128
"2903585",122
"2903586",111
"3061627",108
"3018339",97
"3016097",93
"2975986",89
"3016092",80
"3016091",76
"2039870",74
"3016103",72
"3015163",64
"3142975",60
"3016419",58
"3014995",52
"3016094",49
"3016096",48
"3016087",48
"2675222",45
"2975985",42
"2975977",38
"2975976",37
"3015167",30
"3016089",28
"3016093",22
"2201999",19
"3015156",18
"3015150",16
"648999",14
"3015158",7
"709883",355
"285665",302
"47857",280
"1003110",246
"307121",237
"47865",223
"709879",202
"2749844",180
"47871",178
"1420889",171
"1877",158
"299152",153
"261654",148
"3028804",148
"1914461",128
"47858",112
"2294034",108
"47875",105
"356851",93
"356852",84
"515350",84
"709868",80
"47853",76
"1874",73
"299146",67
"47850",66
"1894969",64
"1881",43
"47872",36
"291594",34
"479978",30
"1865",317
"2836373",477
"2975953",275
"649831",272
"946334",233
"1866",607
"512349",526
"113562",385
"196914",370
"1867",357
"122358",288
"3040509",255
"2906497",4
"35753",526
"2862460",455
"2975959",446
"53359",565
"35754",274
"47989",225
"53362",120
"53360",116
"2024580",221
"3144103",215
"2071627",11
"2108470",6
"390988",121
"227318",363
"390989",156
"3015161",186
"3016086",115
"3016090",74
"3015166",47
"907364",53
"624315",301
"1076124",225
"56438",197
"168695",145
"338584",135
"2728827",131
"2811111",104
"2049",183
"2529408",131
"1660",5660
"3059028",960
"2794089",493
"2709403",207
"2758572",64
"181487",551
"52773",412
"131111",247
"131110",115
"1654",1228
"712122",469
"706438",336
"2057798",265
"712116",117
"2079536",86
"2789425",78
"1851395",54
"2789424",26
"2081702",20
"2708340",15
"1852377",1426
"544580",433
"2057800",316
"1655",225
"52771",170
"2755559",161
"2763540",145
"52774",118
"2744574",116
"2560010",103
"675090",101
"2057743",97
"111015",92
"461393",92
"1656",87
"2321394",83
"1659",79
"103621",74
"1960083",60
"2737173",50
"2722820",45
"1069494",103
"1661",1405
"445930",214
"2733571",157
"312285",36
"59561",28
"28263",83
"999183",288
"1803177",231
"28264",179
"131112",68
"1302235",54
"2722751",34
"1503041",21
"2050",28
"3036302",288
"2051",236
"1653174",101
"59505",129
"190146",127
"1870995",127
"2758573",153
"2496867",118
"1282737",27
"2811781",116
"178339",82
"2758440",65
"33007",62
"595468",31
"66228",23
"1912795",54
"2495645",41
"2692125",33
"85009",100
"85015",153
"1839",318
"2763008",423
"2931390",274
"3044187",238
"196162",226
"2976000",180
"2840457",167
"2884264",149
"2917724",144
"3036374",142
"2662361",103
"2760705",80
"2486272",75
"3095075",71
"2895565",71
"2714939",64
"2017486",50
"2996826",43
"3095076",42
"2582905",38
"2592334",36
"110319",34
"2898796",33
"2760089",434
"642780",408
"2685869",320
"2712223",280
"160826",273
"2558918",269
"449461",208
"419476",206
"2803858",203
"627624",199
"402297",190
"1643322",169
"433659",166
"2849501",159
"2894081",151
"2045452",131
"2483798",128
"1542737",125
"2589074",117
"1804624",74
"2736757",65
"2714938",65
"1774216",61
"200618",59
"2500546",53
"2518370",50
"2518371",47
"450734",47
"2872154",41
"2663857",32
"2575440",13
"2040",41
"3009077",69
"2107713",61
"1736306",21
"2968086",137
"2969247",92
"1736691",83
"2041",81
"219314",42
"2079793",41
"2662028",36
"2663859",30
"2045",242
"546871",190
"75385",141
"2708082",137
"2908642",90
"31957",107
"72763",97
"2760310",298
"3041766",67
"1285901",185
"1332264",150
"399497",145
"2161816",139
"1610493",57
"2829499",54
"1743",3
"1744",624
"119981",282
"556499",101
"1912216",7
"1747",389
"3016342",116
"2559073",105
"33010",91
"33011",66
"29404",3
"630515",210
"29405",181
"546874",100
"2672569",88
"2596828",80
"1085622",1
"2714937",207
"2760308",204
"2775081",114
"1912215",9
"1749",221
"1748",185
"2057246",97
"1911549",2
"3081651",212
"3081204",133
"2662261",69
"2801844",2
"1750",222
"1547448",71
"3041175",176
"3052086",133
"675864",112
"1871034",65
"182639",30
"3002436",591
"2975968",379
"2903578",243
"2975967",238
"2975972",193
"2903579",119
"2975966",80
"1544730",158
"182640",152
"117157",253
"85012",132
"2004",37
"83681",380
"1955412",601
"2976002",357
"2976003",162
"3120159",1
"2047744",382
"2219224",368
"1291556",307
"93944",295
"404386",184
"2000",5
"2975950",405
"2202249",272
"2903899",14
"2975951",3
"2975949",2
"2903898",1
"2001",290
"2005",41
"3144104",339
"2903583",100
"568844",407
"2006",124
"3031114",1
"2012",170
"1988",115
"1219491",274
"2742128",120
"2591108",112
"2750812",469
"1993",396
"46165",223
"46158",144
"46163",113
"2805427",111
"2976007",401
"2976006",280
"2019",3
"1411117",344
"2020",159
"2903557",273
"83676",22
"2013",534
"2014",159
"163604",158
"280236",150
"3061629",88
"53437",83
"2831968",27
"1323731",153
"2498135",118
"83677",11
"53522",158
"483545",76
"2021",23
"2820884",177
"74712",22
"1854",113
"710111",149
"1858",64
"106370",184
"1859",159
"298654",343
"2716812",140
"1860",3
"1861",275
"1528104",196
"38501",24
"1564165",155
"2933797",114
"138336",58
"88138",3
"2851567",175
"477641",94
"281472",18
"419479",468
"1798224",246
"2162846",20
"622681",4
"1884907",291
"1884905",100
"1884913",69
"1884904",54
"1884914",52
"573600",5
"1884634",73
"1884916",36
"1884915",5
"33981",2
"2903564",373
"131568",195
"2762325",156
"53461",144
"1090615",118
"1902245",93
"304895",468
"2038343",163
"1907575",83
"2944128",83
"283811",133
"2811108",62
"1891644",71
"28049",53
"414996",50
"84999",651
"84107",163
"102106",93
"74426",302751
"147206",1180
"2844380",267
"1871019",2471
"33871",255
"1643824",369
"133925",12
"1805478",957
"133926",590
