,kraken2_report
85874,585.0
2755338,329.0
42838,211.0
129958,155.0
252966,341.0
626937,5903.0
972,909.0
2330,2.0
656519,740.0
2331,128.0
2682810,384.0
2382161,155.0
1323375,871.0
28187,341.0
42422,178.0
31909,487.0
44260,127.0
1525,908.0
2138101,642.0
55779,629.0
676965,437.0
161154,511.0
2528593,925.0
2770089,3.0
2770092,126.0
2316383,1252.0
499229,770.0
291990,663.0
2751313,642.0
3065157,524.0
375929,196.0
2742683,76.0
909930,427.0
33024,1111.0
33025,2593597.0
626940,4751.0
2823317,2980.0
904,17.0
905,3275.0
187327,761.0
909929,3.0
1843491,26.0
970,554.0
712528,774.0
3095337,637.0
1884263,496.0
712538,390.0
713030,205.0
971,2588.0
69823,1174.0
135079,758.0
2754044,350.0
158846,88.0
158847,3617.0
437897,1381.0
3054208,687.0
865,641.0
1843490,30.0
2375,837.0
2377,1248.0
47679,1100.0
2378,860.0
307249,285.0
365348,11.0
365349,987.0
484770,481.0
673273,1234.0
1930071,717.0
31977,76.0
906,399.0
2144175,3532.0
907,1437.0
1232428,1338.0
1675036,1101.0
29465,1354.0
39777,1268.0
423477,835.0
29466,549.0
248315,476.0
2682456,203.0
39778,61.0
2682455,42.0
39948,1099.0
487173,1750.0
2582419,365.0
39950,265.0
2161821,87.0
526525,1732.0
128827,2975.0
1522,666066.0
1796635,52170.0
2583452,17206.0
174708,400.0
2834459,2598.0
2853432,1818.0
1647,1265.0
2714930,589.0
2714929,148.0
2714928,65.0
3141531,2.0
225084,701.0
1514105,661.0
1648,633.0
2485784,88.0
2890314,36.0
2944914,3829.0
2487118,2584.0
102148,2044.0
1702221,1580.0
2806552,728.0
2810280,291.0
3025755,594.0
1547,228168.0
1965571,2373.0
29348,1481.0
1982626,9162.0
135858,1591.0
2478954,2359.0
100886,1602.0
2899121,1489.0
191303,1101.0
1712675,712.0
3114695,474.0
2806443,324.0
154288,764.0
2735723,724.0
2963365,44.0
1385,18249.0
186817,12247.0
1386,15784.0
486398,1101.0
352858,791.0
2014076,756.0
3073816,648.0
467262,635.0
2709784,589.0
1705566,409.0
2587848,406.0
98228,400.0
3077585,389.0
2682541,379.0
666686,306.0
1581038,292.0
2589818,277.0
3129297,248.0
2921507,247.0
3052091,232.0
2975294,172.0
2925318,164.0
1071080,153.0
2070759,150.0
1868655,119.0
2859227,52.0
3098077,47.0
2954591,42.0
2954579,40.0
580459,40.0
2499213,36.0
2954620,35.0
2856338,32.0
2954582,32.0
3139388,32.0
1071078,29.0
2921523,21.0
2233998,20.0
2796141,20.0
2789208,18.0
2921577,18.0
2954675,17.0
2921694,16.0
2921535,10.0
2975293,10.0
3077323,10.0
2576356,9.0
1127744,7.0
2954725,5.0
2954588,5.0
2812759,5.0
2954587,5.0
2921530,4.0
2954626,4.0
2928154,3.0
2954585,3.0
3035514,3.0
2954566,3.0
2921622,3.0
2954573,2.0
2683680,2.0
2921562,2.0
2841656,2.0
2846779,2.0
2874284,2.0
2884834,1.0
2954636,1.0
2954678,1.0
2921456,1.0
2975304,1.0
3126755,1.0
2921570,1.0
3122078,1.0
2921587,1.0
1396,2230.0
1428,1432.0
1405,1386.0
64104,526.0
2817477,306.0
155322,305.0
2026193,265.0
580165,168.0
2026191,136.0
2026186,128.0
1890302,119.0
2026188,104.0
2053832,2.0
1892404,1.0
2026187,66.0
1392,40.0
2026194,36.0
658666,4.0
2026189,1.0
492670,665.0
1390,193.0
659243,52.0
1452,1122.0
1648923,522.0
260554,428.0
72360,89.0
72361,450.0
1423,265.0
227866,252.0
96241,231.0
1402,147.0
483913,72.0
2054641,50.0
119858,2.0
1408,1438.0
293387,680.0
324767,618.0
1455,567.0
1983719,557.0
1925020,519.0
1471,511.0
2819290,478.0
1441095,371.0
1547283,348.0
1664069,286.0
1479,285.0
1178537,236.0
561879,183.0
2672567,98.0
86663,81.0
293388,50.0
2487276,43.0
2728853,31.0
2715209,20.0
2675232,48.0
3047873,1311.0
3070682,1122.0
2954672,1082.0
3070683,1066.0
3070678,839.0
2963105,808.0
3048535,763.0
3047871,729.0
3047875,714.0
3070677,689.0
3047874,611.0
3070680,479.0
3070676,348.0
3070679,347.0
1740721,1206.0
1193713,1029.0
220684,840.0
220687,601.0
400634,2055.0
2936682,548.0
2921393,329.0
2169540,303.0
2921465,302.0
2921718,242.0
2070463,227.0
2892541,226.0
2921497,220.0
2792480,169.0
2921515,163.0
3122488,121.0
2921720,103.0
3026425,65.0
2792479,35.0
3039426,31.0
2921721,28.0
2072025,22.0
2921411,18.0
2921504,10.0
2921415,9.0
2921619,7.0
2972483,5.0
2913506,2.0
2749809,2.0
2954544,1.0
2796169,1.0
1470088,911.0
2086577,697.0
1421,414.0
28031,370.0
1714840,368.0
2998077,319.0
2115968,265.0
759811,192.0
2590012,85.0
33935,25.0
436516,18.0
1145276,18.0
2675229,1339.0
228899,1446.0
3073271,519.0
2921364,312.0
2921573,105.0
2975289,22.0
1478,936.0
450367,925.0
1407,561.0
264697,156.0
421767,99.0
2675231,478.0
129985,1857.0
3043332,667.0
2880221,581.0
279826,1133.0
285983,739.0
2800373,1372.0
1404,1888.0
86664,839.0
284581,610.0
1402861,468.0
412384,181.0
135735,5.0
2675230,836.0
1399,1579.0
859144,1223.0
1637975,589.0
1742359,441.0
3051614,309.0
2901381,290.0
665099,31.0
859143,17.0
2921700,2.0
182709,937.0
2921503,678.0
2954748,371.0
2921698,172.0
2921420,55.0
2975322,30.0
2921699,24.0
1462527,797.0
2052660,566.0
746691,196.0
545501,192.0
182710,103.0
2837506,21.0
2912824,936.0
3082444,795.0
2962858,616.0
1737571,1359.0
1397,686.0
2499688,608.0
84406,1405.0
2419841,562.0
2700081,276.0
2831673,250.0
403957,154.0
2419842,46.0
1911587,8.0
163877,530.0
1482,504.0
1216297,444.0
302167,389.0
2017483,186.0
1473,101.0
447199,2.0
2675233,1845.0
2806989,561.0
3117746,523.0
2897333,155.0
3117747,44.0
2745198,37.0
3048891,2.0
2567941,647.0
152268,363.0
1535204,230.0
2874282,53.0
2837508,351.0
189381,1709.0
189382,870.0
218284,811.0
3118174,344.0
2963940,26.0
3038653,15.0
129337,1327.0
1921421,1167.0
1963026,200.0
